axial strain [-],lateral strain [-],axial stress [MPa]
0.0376929122546901,-0.0230262154488881,383.7273796464399993
0.0381208017096899,-0.0232824959825600,384.2599461104629768
0.0385251717959001,-0.0235181520295200,384.8121016317199974
0.0389459981522899,-0.0237632257243230,385.3756982920330074
0.0393523401768101,-0.0240081943951270,385.8875538296489935
0.0397735074284300,-0.0242597151260729,386.4676267679910211
0.0401804326249000,-0.0244929636540280,386.9586122530329817
0.0405960824664500,-0.0247399997634320,387.5202985469339865
0.0410155947432800,-0.0249847543319350,388.0266346040419876
0.0414249640700599,-0.0252334868747121,388.5755736398859881
0.0418464092787301,-0.0254847200071130,389.0411327328409925
0.0422569566622299,-0.0257242545965310,389.5536899432649989
0.0426682671238401,-0.0259595421391520,390.0377801276270020
0.0430753643107800,-0.0262164915172940,390.5236603746030255
